,codigo_municipio,ano,dado_identificador,valor,tipo_dado
847,1303536,2015,PIB TOTAL,761204000.0,float
854,1303569,2015,PIB TOTAL,444180000.0,float
861,1303601,2015,PIB TOTAL,155313000.0,float
868,1303700,2015,PIB TOTAL,149509000.0,float
875,1303809,2015,PIB TOTAL,265932000.0,float
882,1303908,2015,PIB TOTAL,193791000.0,float
889,1303957,2015,PIB TOTAL,84630000.0,float
896,1304005,2015,PIB TOTAL,105001000.0,float
903,1304062,2015,PIB TOTAL,382963000.0,float
910,1304104,2015,PIB TOTAL,201237000.0,float
917,1304203,2015,PIB TOTAL,710973000.0,float
924,1304237,2015,PIB TOTAL,114685000.0,float
931,1304260,2015,PIB TOTAL,130831000.0,float
938,1304302,2015,PIB TOTAL,310200000.0,float
945,1304401,2015,PIB TOTAL,113917000.0,float
952,1400027,2015,PIB TOTAL,123154000.0,float
959,1400050,2015,PIB TOTAL,221320000.0,float
966,1400100,2015,PIB TOTAL,7581092000.0,float
973,1400159,2015,PIB TOTAL,224232000.0,float
980,1400175,2015,PIB TOTAL,209781000.0,float
987,1400209,2015,PIB TOTAL,307049000.0,float
994,1400233,2015,PIB TOTAL,142421000.0,float
1001,1400282,2015,PIB TOTAL,126537000.0,float
1008,1400308,2015,PIB TOTAL,248327000.0,float
1015,1400407,2015,PIB TOTAL,123235000.0,float
1022,1400456,2015,PIB TOTAL,145930000.0,float
1029,1400472,2015,PIB TOTAL,467660000.0,float
1036,1400506,2015,PIB TOTAL,124280000.0,float
1043,1400605,2015,PIB TOTAL,100434000.0,float
1050,1400704,2015,PIB TOTAL,97451000.0,float
1057,1500107,2015,PIB TOTAL,1192555000.0,float
1064,1500131,2015,PIB TOTAL,66599000.0,float
1071,1500206,2015,PIB TOTAL,640890000.0,float
1078,1500305,2015,PIB TOTAL,324962000.0,float
1085,1500347,2015,PIB TOTAL,379314000.0,float
1092,1500404,2015,PIB TOTAL,518610000.0,float
1099,1500503,2015,PIB TOTAL,475344000.0,float
1106,1500602,2015,PIB TOTAL,3201408000.0,float
1113,1500701,2015,PIB TOTAL,180985000.0,float
1120,1500800,2015,PIB TOTAL,6222672000.0,float
